Year,Country,Men,Women
2017,Brazil,197.5,134.2
2017,Korea,251.4,110.1
2017,Japan,239.8,123.3
2017,United States,216.2,154.5
2017,Australia,231.3,148.3
2017,Canada,233.9,170.3
2017,Germany,252.7,162.7
2017,New Zealand,248.5,181.2
2017,United Kingdom,259.5,184.7
2017,Poland,327.9,179.8
